"index";"time";"minutes";"dateTime";"HP34401A.VoltageDC";"Math.RMS";"Math.AVG1000";"Math.StdDev";"Math.StdDev100"
250;119,078;1,9846333333;1752603320,586;9,9804299;9,980433244;9,980432696;0,0000029288;0,0000027657
251;119,578;1,9929666667;1752603321,086;9,9804376;9,980433266;9,9804327155;0,0000029393;0,0000027917
252;120,077;2,0012833333;1752603321,586;9,9804365;9,980433299;9,9804327304;0,0000029431;0,0000028103
253;120,577;2,0096166667;1752603322,085;9,9804288;9,980433233;9,980432715;0,0000029476;0,0000028378
254;121,078;2,0179666667;1752603322,586;9,9804343;9,980433222;9,9804327212;0,0000029434;0,0000028315
255;121,577;2,0262833333;1752603323,085;9,9804332;9,9804332;9,980432723;0,0000029378;0,0000028229
256;122,077;2,0346166667;1752603323,586;9,980431;9,9804332;9,9804327163;0,000002934;0,0000028229
257;122,577;2,04295;1752603324,085;9,980431;9,980433178;9,9804327097;0,0000029303;0,0000028315
258;123,077;2,0512833333;1752603324,586;9,9804288;9,980433156;9,9804326946;0,0000029347;0,000002857
259;123,577;2,0596166667;1752603325,086;9,9804332;9,980433156;9,9804326965;0,0000029292;0,000002857
260;124,077;2,06795;1752603325,586;9,9804321;9,980433123;9,9804326943;0,0000029237;0,0000028499
261;124,577;2,0762833333;1752603326,086;9,9804299;9,980433112;9,9804326836;0,0000029232;0,0000028603
